version,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
20b188c06c6263f5e1918eddcf1063fce5264d57,0.020052,0.500162,0.500160,4.093351,1.571050
06b78a07213100a3312499f2527c401d6e041272,0.024115,0.500162,0.500160,4.093351,1.571050
6c5caa3b7cb9da1f41ba6586d27fc11b8e1668f1,0.082714,0.500162,0.500160,4.093351,1.571050
c97ad1d5fb9a32d11c2f9e2bade56fb948b3dcec,0.013739,0.500162,0.500160,4.093351,1.571050
52244dc6df721913d9150ea2ae6f2508ab057d8e,0.078122,0.500162,0.500160,4.093351,1.571050
c5358caab20f7106c863f77bd7fa0c186023fc23,0.028431,0.500162,0.500160,4.093351,1.571050
9e710ed8437908c3eaaf6e68f5523842a846c6ea,0.050086,0.500162,0.500160,4.093351,1.571050
0078b459b839ada39f5adc7f01608f4c0fd00934,0.039807,0.500162,0.500160,4.093351,1.571050
00abe26e755169df11ec3973abe021db4c35ce79,0.018206,0.500162,0.500160,4.093351,1.571050
24f88b8d548e4d5f18bd507ef8fe67dcfd7153c3,0.070577,0.500162,0.500160,4.093351,1.571050
2910198f14059f4a0130068cb7daa77e9d0bea8f,0.028497,0.500162,0.500160,4.093351,1.571050
8d669069cb2298eef2e6ef692a9409339c950736,0.026286,0.500162,0.500160,4.093351,1.571050
acc1ac279a2742753e81042bd62e003bb5eb046a,0.013599,0.500162,0.500160,4.093351,1.571050
c165327940cd1d16038995e20dfd2ecad69fb2a2,0.012909,0.500162,0.500160,4.093351,1.571050
7bbf10a5986f347cd9082ce5d76dae6e276477c9,0.027088,0.500162,0.500160,4.093351,1.571050
32290ad5034e030c4cb5d5547cae22f563c968c8,0.012243,0.500162,0.500160,4.093351,1.571050
294a6219e28daffb505893e1ff9529dc86633a87,0.048054,0.500162,0.500160,4.093351,1.571050
4b8b20015dd262093ee939e4afe20af962dedbb2,0.009354,0.500162,0.500160,4.093351,1.571050
4ffbf34588e66d10a6ae79d7692c66c83f7edbab,0.012436,0.500162,0.500160,4.093351,1.571050
4e6346ef62e14aa2859ad04bc41de027a16f96fb,0.045167,0.500162,0.500160,4.093351,1.571050
932726fe9d8a24063436400ff758edee323d8e5c,0.018943,0.500162,0.500160,4.093351,1.571050
8de3af5dc59796663bc3545a13b95e0d9db1542e,0.058947,0.500162,0.500160,4.093351,1.571050
ced25e9ecd7ae8ed18f714510ec86fcdd0d777b5,0.029970,0.500162,0.500160,4.093351,1.571050
6d5328b4655057d093040b1d1a41ac1656f55930,0.021222,0.500162,0.500160,4.093351,1.571050
e4b9ff6c9868c3211c1da716d76248115c11feec,0.028364,0.500162,0.500160,4.093351,1.571050
75a0d2c43134c0dd347e5e04af91ff2c906586c3,0.036956,0.500162,0.500160,4.093351,1.571050
0949a2e35331c85fe24f0f3f478961ebc7e7cfc7,0.016245,0.500162,0.500160,4.093351,1.571050
1f74f1bf93a0aff83aee5894b55a1ed0a227fc49,0.038053,0.500162,0.500160,4.093351,1.571050
3cf765fe586159765ca07b4d0163e74232fc4e01,0.007935,0.500162,0.500160,4.093351,1.571050
4161d5570e139e75993b63e040a3a5d6c7fd473f,0.061022,0.500162,0.500160,4.093351,1.571050
5ad1dfe319abcdf1f9b71e1374c3dc072d634ccc,0.006793,0.500162,0.500160,4.093351,1.571050
0fe613ebabeb920d9d3e4eef1660fe96b78afbf9,0.033426,0.500162,0.500160,4.093351,1.571050
ea8f19b78c6956b95b0540ce4dbcf48eedcd482b,0.048620,0.500162,0.500160,4.093351,1.571050
f3f0fa3bf6fdf0a3566ec4692100b50925f423b8,0.037835,0.500162,0.500160,4.093351,1.571050
e7b6a7f7609394d95e5bcbf8437dc8fe52398caf,0.025898,0.500162,0.500160,4.093351,1.571050
641bd932e2fdc310690176d3c0805883f682d04e,0.004194,0.500162,0.500160,4.093351,1.571050
02b2712f172d77f6eb99f6f16cf70814b586c5c9,0.050856,0.500162,0.500160,4.093351,1.571050
af1a74cc48c58a6ab605b77ae1f1b36984b93779,0.038469,0.500162,0.500160,4.093351,1.571050
7be35c8aabbcc7828d8cbe94448084647c0a4f86,0.006298,0.500162,0.500160,4.093351,1.571050
cb219b425019a9086f6585222990980ed449249b,0.027286,0.500162,0.500160,4.093351,1.571050
af0be5f510bddd72139ccc541c883fb2edc1c2d9,0.006594,0.500162,0.500160,4.093351,1.571050
c9510ed19111be417dfdea10a2ac602f77bde012,0.073968,0.500162,0.500160,4.093351,1.571050
203298e08894b95c045305a59ac02c8b1299d092,0.014009,0.500162,0.500160,4.093351,1.571050
f99830c9b0f1c486f0823c4a751bbdad51ccb613,0.007795,0.500162,0.500160,4.093351,1.571050
011ad8d8a49aa869dbacc850fc755a361d88d771,0.044810,0.500162,0.500160,4.093351,1.571050
50abfc7d275611a92e117b403e90f0713ec6d211,0.043428,0.500162,0.500160,4.093351,1.571050
a5f0159ea53dd02122fa8e1a6bddf8212369ff11,0.060844,0.500162,0.500160,4.093351,1.571050
205651fce70a58b3caece6a68624a4db48430acd,0.012838,0.500162,0.500160,4.093351,1.571050
ead38de0a705637eace0b661c02f85e32180f8da,0.010870,0.500162,0.500160,4.093351,1.571050
16d132244df9a18392649bd595d17bfce51ce00b,0.040733,0.500162,0.500160,4.093351,1.571050
01da5c221d97fa82c4a6ca31b3ccb83ceec78c00,0.066223,0.500162,0.500160,4.093351,1.571050
f9eb9cfbee882d17488f6a0c67f113f25049570d,0.083412,0.500162,0.500160,4.093351,1.571050
e6d5098c4705ba1cbe3ac0089c1633ae52d47137,0.035561,0.500162,0.500160,4.093351,1.571050
624c9f4c22e30612eda5f1c65115f3064e36ad68,0.008054,0.500162,0.500160,4.093351,1.571050
5ef503cc6cf708abebbb1e966911436df019650a,0.005475,0.500162,0.500160,4.093351,1.571050
a0775c1f37025224d8017910a733707c61b13cf1,0.006322,0.500162,0.500160,4.093351,1.571050
4b70b613f8087f2b54af253ae341316d549ba4a2,0.013941,0.500162,0.500160,4.093351,1.571050
28c893d044995b9e018dc80c6629c0d32d3f931d,0.057713,0.500162,0.500160,4.093351,1.571050
58dfb3d31add52fbdc9a00f5a346f53cc6af2451,0.064229,0.500162,0.500160,4.093351,1.571050
7461b6c84b2bb01fcf4842391d4673e30c07df3f,0.013597,0.500162,0.500160,4.093351,1.571050
eff590ab6334100830fb40182849950d12f2e82a,0.023134,0.500162,0.500160,4.093351,1.571050
f28b41fb76064da2b5b96fa9a6288cc007e97a63,0.005677,0.500162,0.500160,4.093351,1.571050
6efb03fdaab054cdf8bb9b837c70419bd7397327,0.016887,0.500162,0.500160,4.093351,1.571050
cbf9e75f7297a8d6cd2e8b250c01ecc696840a5e,0.014639,0.500162,0.500160,4.093351,1.571050
e12863f103f1a500d0a28722dda300311bc4b5ed,0.087888,0.500162,0.500160,4.093351,1.571050
79d9aa215210a490440292b83cd5c3608919aaea,0.030307,0.500162,0.500160,4.093351,1.571050
